Precio,Ubicacion,Detalles,precio_peso,m2_totales,dormitorios,banos,comuna,precio_m2
$62.990.000,"Arturo Prat 1312, Santiago",1 dormitorio 1 baño 30 m² útiles,62990000,30.0,1.0,1.0,Santiago,2099666.6666666665
UF1.650,"Santa Lucía, Santa Isabel, Santiago",1 dormitorio 1 baño 33 m² útiles,62700000,33.0,1.0,1.0,Santiago,1900000.0
UF2.950,"VENTA DEPTO FAMILIAR E INV. 3D2B1E ZONA ALTA DEMANDA. METRO, Parque Almagro, Santiago",3 dormitorios 62 m² útiles,112100000,62.0,3.0,,Santiago,1808064.5161290322
$59.900.000,"General Mackenna / Morande / Bandera, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 38 m² útiles,59900000,38.0,1.0,1.0,Santiago,1576315.7894736843
$58.000.000,"Parque Almagro, Santiago",1 dormitorio 1 baño 33 m² útiles,58000000,33.0,1.0,1.0,Santiago,1757575.7575757576
UF2.090,"ATENCION EXCELENTE UBICACION DEPARTAMENTO VENTA 1D1B BODEGA, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 46 m² útiles,79420000,46.0,1.0,1.0,Santiago,1726521.7391304348
UF1.449,"Vicuña Mackenna 601, Santa Isabel, Santiago",1 dormitorio 1 baño 30 m² útiles,55062000,30.0,1.0,1.0,Santiago,1835400.0
UF3.153,"Av. Viel Con Mac Clure, Santiago",3 dormitorios 2 baños 80 m² útiles,119814000,80.0,3.0,2.0,Santiago,1497675.0
UF2.900,"Marcoleta - Portugal, Barrio San Borja, Santiago",3 dormitorios 1 baño 62 m² útiles,110200000,62.0,3.0,1.0,Santiago,1777419.3548387096
UF1.579,"Maturana 750, Departamento 204B, Barrio Brasil, Santiago",1 dormitorio 1 baño 27 m² útiles,60002000,27.0,1.0,1.0,Santiago,2222296.296296296
UF14.528,"Calle Merced Nº106, Departamento Nº701, Barrio Lastarria, Santiago",6 dormitorios 7 baños 354 m² útiles,552064000,354.0,6.0,7.0,Santiago,1559502.824858757
UF2.150,"Av San Pablo, 1200 - 1500, Centro Histórico De Santiago, Santiago",2 dormitorios 1 baño 44 m² útiles,81700000,44.0,2.0,1.0,Santiago,1856818.1818181819
UF3.000,"Merced 562, Santiago, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 47 m² útiles,114000000,47.0,1.0,1.0,Santiago,2425531.914893617
UF2.400,"Metro Franklin, Franklin - Biobío, Santiago",1 dormitorio 1 baño 36 m² útiles,91200000,36.0,1.0,1.0,Santiago,2533333.3333333335
UF2.900,"Tucapel Jiménez, Santiago, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 52 m² útiles,110200000,52.0,2.0,2.0,Santiago,2119230.769230769
